x,y,title
-70.5524916080066,46.9748950016052,École Saint-Nicolas
-70.5066653114286,-33.391138307802,Colegio San Nicolas De Myra
-70.5020574930103,46.9905935162547,Bras Saint-Nicolas
-70.4992300456535,46.993727188291,Bras Saint-Nicolas
-70.4921020935371,46.9971118770694,Bras Saint-Nicolas
-67.7756364697267,49.3090890135322,Grande baie Saint-Nicolas
-67.7675459727833,49.3038549647587,Pointe Saint-Nicolas
-67.7331295379551,49.3901502991334,Lac Saint-Nicolas
-67.7105702360565,49.307824275762,Petite baie Saint-Nicolas
-67.4977435348996,-29.1622610871232,San Nicolas
-64.1681189798581,-31.4184575517156,San Nicolas 405
-61.4251384126271,16.2945809236225,Gascon Saint-Nicolas
-60.2016448534181,-33.3897072329252,San Nicolas De Los Arroyos Airport
